,Company,Flight_Num,Dep,Sche,Dept,Type,Status,Date
0,대한항공,KE1200,GMP(김포),07:05,07:15,여객,출발,2007-01-01
1,,10,HKG(홍콩),07:10,07:11,,출발,2007-01-01
2,제주항공,7C102,GMP(김포),07:10,07:24,여객,출발,2007-01-01
3,아시아나항공,OZ8902,GMP(김포),07:25,07:32,여객,출발,2007-01-01
4,대한항공,KE855,PEK(베이징),07:50,07:42,여객,출발,2007-01-01
5,대한항공,KE1002,PUS(김해),08:00,08:13,여객,출발,2007-01-01
6,제주항공,7C104,GMP(김포),08:10,08:17,여객,출발,2007-01-01
7,대한항공,KE1004,PUS(김해),08:20,08:34,여객,출발,2007-01-01
8,대한항공,KE1006,PUS(김해),08:25,08:43,여객,출발,2007-01-01
9,아시아나항공,OZ8100,PUS(김해),08:30,08:46,여객,출발,2007-01-01
10,대한항공,KE1204,GMP(김포),08:40,08:53,여객,출발,2007-01-01
11,제주항공,7C500,PUS(김해),08:40,08:49,여객,출발,2007-01-01
12,대한항공,KE1206,GMP(김포),08:55,09:11,여객,출발,2007-01-01
13,아시아나항공,OZ8904,GMP(김포),09:00,09:16,여객,출발,2007-01-01
14,대한항공,KE1802,TAE(대구),09:00,09:14,여객,출발,2007-01-01
15,대한항공,KE1208,GMP(김포),09:10,09:22,여객,출발,2007-01-01
16,아시아나항공,OZ8906,GMP(김포),09:25,09:42,여객,출발,2007-01-01
17,아시아나항공,OZ8122,TAE(대구),09:30,09:38,여객,출발,2007-01-01
18,아시아나항공,OZ8232,CJJ(청주),09:30,09:44,여객,출발,2007-01-01
19,아시아나항공,OZ8102,PUS(김해),09:50,09:30,여객,출발,2007-01-01
20,대한항공,KE1952,CJJ(청주),09:50,10:00,여객,출발,2007-01-01
21,대한항공,KE1210,GMP(김포),09:50,10:14,여객,출발,2007-01-01
22,제주항공,7C106,GMP(김포),09:55,10:07,여객,출발,2007-01-01
23,HAN,HS302,CJJ(청주),10:15,10:20,여객,출발,2007-01-01
24,대한항공,KE1902,KWJ(광주),10:20,10:27,여객,출발,2007-01-01
25,아시아나항공,OZ8908,GMP(김포),10:35,10:49,여객,출발,2007-01-01
26,대한항공,KE1482,ICN(인천),10:45,10:54,여객,출발,2007-01-01
27,아시아나항공,OZ8142,KWJ(광주),11:00,11:26,여객,출발,2007-01-01
28,대한항공,KE1214,GMP(김포),11:00,11:11,여객,출발,2007-01-01
29,제주항공,7C502,PUS(김해),11:10,11:15,여객,출발,2007-01-01
30,제주항공,7C108,GMP(김포),11:20,11:32,여객,출발,2007-01-01
31,대한항공,KE1008,PUS(김해),11:20,11:45,여객,출발,2007-01-01
