,Company,Flight_Num,Dep,Sche,Dept,Type,Status,Reason,Date
0,아시아나항공,OZ8124,TAE(대구),09:10,09:50,여객,지연,연결-항공기,2013-01-01
1,아시아나항공,OZ8142,KWJ(광주),09:50,10:56,여객,지연,연결-항공기,2013-01-01
2,아시아나항공,OZ8232,CJJ(청주),10:20,:,여객,취소,기상-눈,2013-01-01
3,아시아나항공,OZ8234,CJJ(청주),15:35,:,여객,취소,기상-눈,2013-01-01
4,아시아나항공,OZ8906,GMP(김포),08:35,09:18,여객,지연,연결-항공기,2013-01-01
5,아시아나항공,OZ8914,GMP(김포),12:10,12:43,여객,지연,연결-항공기,2013-01-01
6,아시아나항공,OZ8926,GMP(김포),14:20,15:31,여객,지연,연결-항공기,2013-01-01
7,아시아나항공,OZ8940,GMP(김포),17:40,18:17,여객,지연,연결-항공기,2013-01-01
8,아시아나항공,OZ8950,GMP(김포),21:30,22:06,여객,지연,연결-항공기,2013-01-01
9,아시아나항공,OZ8952,GMP(김포),21:00,22:07,여객,지연,연결-항공기,2013-01-01
10,에어부산,BX8106,PUS(김해),09:10,09:42,여객,지연,연결-항공기,2013-01-01
11,에어부산,BX8136,PUS(김해),08:40,09:36,여객,지연,연결-항공기,2013-01-01
12,이스타항공,ZE206,GMP(김포),08:40,09:23,여객,지연,연결-항공기,2013-01-01
13,이스타항공,ZE208,GMP(김포),09:25,10:11,여객,지연,연결-항공기,2013-01-01
14,이스타항공,ZE216,GMP(김포),13:05,14:00,여객,지연,연결-항공기,2013-01-01
15,이스타항공,ZE228,GMP(김포),20:10,20:47,여객,지연,연결-항공기,2013-01-01
16,이스타항공,ZE230,GMP(김포),21:10,21:51,여객,지연,연결-항공기,2013-01-01
17,이스타항공,ZE254,GMP(김포),12:40,13:36,여객,지연,연결-항공기,2013-01-01
18,이스타항공,ZE256,GMP(김포),14:50,15:47,여객,지연,연결-항공기,2013-01-01
19,이스타항공,ZE302,KUV(군산),12:00,12:53,여객,지연,연결-항공기,2013-01-01
20,이스타항공,ZE702,CJJ(청주),16:25,16:58,여객,지연,연결-항공기,2013-01-01
21,제주항공,7C100,GMP(김포),08:35,09:06,여객,지연,연결-항공기,2013-01-01
22,제주항공,7C106,GMP(김포),11:55,12:30,여객,지연,연결-항공기,2013-01-01
23,제주항공,7C108,GMP(김포),12:20,13:41,여객,지연,연결-항공기,2013-01-01
24,제주항공,7C110,GMP(김포),13:10,14:58,여객,지연,연결-항공기,2013-01-01
25,제주항공,7C116,GMP(김포),19:50,20:51,여객,지연,연결-항공기,2013-01-01
26,제주항공,7C118,GMP(김포),20:30,21:08,여객,지연,연결-항공기,2013-01-01
27,제주항공,7C120,GMP(김포),20:50,21:28,여객,지연,연결-항공기,2013-01-01
28,제주항공,7C122,GMP(김포),21:15,21:47,여객,지연,연결-항공기,2013-01-01
29,제주항공,7C162,GMP(김포),08:10,:,여객,취소,연결-항공기,2013-01-01
30,제주항공,7C164,GMP(김포),11:30,:,여객,취소,연결-항공기,2013-01-01
31,제주항공,7C502,PUS(김해),09:50,10:54,여객,지연,연결-항공기,2013-01-01
32,제주항공,7C504,PUS(김해),12:55,13:26,여객,지연,연결-항공기,2013-01-01
33,제주항공,7C508,PUS(김해),15:40,17:00,여객,지연,연결-항공기,2013-01-01
34,제주항공,7C510,PUS(김해),17:45,19:17,여객,지연,연결-항공기,2013-01-01
35,제주항공,7C512,PUS(김해),18:30,19:52,여객,지연,연결-항공기,2013-01-01
36,제주항공,7C514,PUS(김해),20:10,21:52,여객,지연,연결-항공기,2013-01-01
37,제주항공,7C802,CJJ(청주),08:55,:,여객,취소,기상-눈,2013-01-01
38,제주항공,7C804,CJJ(청주),17:00,18:27,여객,지연,연결-항공기,2013-01-01
39,진에어,LJ302,GMP(김포),09:10,09:45,여객,지연,연결-항공기,2013-01-01
40,진에어,LJ304,GMP(김포),10:00,10:51,여객,지연,연결-항공기,2013-01-01
41,진에어,LJ308,GMP(김포),12:35,13:08,여객,지연,연결-항공기,2013-01-01
42,진에어,LJ310,GMP(김포),13:25,15:10,여객,지연,연결-항공기,2013-01-01
43,진에어,LJ316,GMP(김포),16:05,16:49,여객,지연,연결-항공기,2013-01-01
44,진에어,LJ318,GMP(김포),16:55,18:43,여객,지연,연결-항공기,2013-01-01
45,진에어,LJ328,GMP(김포),21:05,21:58,여객,지연,연결-항공기,2013-01-01
46,진에어,LJ332,GMP(김포),10:10,11:36,여객,지연,연결-항공기,2013-01-01
47,진에어,LJ334,GMP(김포),14:15,16:19,여객,지연,연결-항공기,2013-01-01
48,진에어,LJ336,GMP(김포),18:05,19:38,여객,지연,연결-항공기,2013-01-01
49,대한항공,KE1008,PUS(김해),14:40,15:35,여객,지연,연결-항공기,2013-01-01
50,대한항공,KE1208,GMP(김포),09:30,10:23,여객,지연,연결-항공기,2013-01-01
