,Company,Flight_Num,Dep,Sche,Dept,Type,Status,Reason,Date
0,아시아나항공,OZ8601,USN(울산),08:50,09:29,여객,지연,연결-항공기,2015-01-01
1,아시아나항공,OZ8705,KWJ(광주),15:10,16:05,여객,지연,연결-항공기,2015-01-01
2,아시아나항공,OZ8707,KWJ(광주),17:40,18:48,여객,지연,연결-항공기,2015-01-01
3,아시아나항공,OZ8709,KWJ(광주),20:20,:,여객,취소,기상-눈,2015-01-01
4,아시아나항공,OZ8737,RSU(여수),17:20,18:18,여객,지연,연결-항공기,2015-01-01
5,아시아나항공,OZ8929,CJU(제주),12:40,13:30,여객,지연,연결-항공기,2015-01-01
6,아시아나항공,OZ8937,CJU(제주),18:00,19:02,여객,지연,연결-항공기,2015-01-01
7,아시아나항공,OZ8941,CJU(제주),15:50,16:23,여객,지연,연결-항공기,2015-01-01
8,아시아나항공,OZ8943,CJU(제주),15:40,16:32,여객,지연,연결-항공기,2015-01-01
9,아시아나항공,OZ8945,CJU(제주),16:05,17:06,여객,지연,연결-항공기,2015-01-01
10,아시아나항공,OZ8963,CJU(제주),12:25,13:21,여객,지연,연결-항공기,2015-01-01
11,아시아나항공,OZ8965,CJU(제주),15:55,16:54,여객,지연,연결-항공기,2015-01-01
12,아시아나항공,OZ8967,CJU(제주),19:25,20:31,여객,지연,연결-항공기,2015-01-01
13,아시아나항공,OZ8987,CJU(제주),19:45,20:22,여객,지연,연결-항공기,2015-01-01
14,에어부산,BX8021,CJU(제주),14:30,15:22,여객,지연,연결-항공기,2015-01-01
15,에어부산,BX8029,CJU(제주),11:15,12:03,여객,지연,연결-항공기,2015-01-01
16,이스타항공,ZE205,CJU(제주),08:20,09:09,여객,지연,연결-항공기,2015-01-01
17,이스타항공,ZE207,CJU(제주),09:45,10:17,여객,지연,연결-항공기,2015-01-01
18,이스타항공,ZE213,CJU(제주),11:30,12:32,여객,지연,연결-항공기,2015-01-01
19,이스타항공,ZE215,CJU(제주),13:00,13:40,여객,지연,연결-항공기,2015-01-01
20,이스타항공,ZE219,CJU(제주),15:20,16:00,여객,지연,연결-항공기,2015-01-01
21,이스타항공,ZE221,CJU(제주),16:10,17:36,여객,지연,연결-항공기,2015-01-01
22,이스타항공,ZE223,CJU(제주),16:45,17:28,여객,지연,연결-항공기,2015-01-01
23,이스타항공,ZE225,CJU(제주),18:35,19:21,여객,지연,연결-항공기,2015-01-01
24,이스타항공,ZE227,CJU(제주),19:30,20:52,여객,지연,연결-항공기,2015-01-01
25,이스타항공,ZE229,CJU(제주),19:55,20:29,여객,지연,연결-항공기,2015-01-01
26,제주항공,7C115,CJU(제주),12:20,12:59,여객,지연,연결-항공기,2015-01-01
27,제주항공,7C117,CJU(제주),12:40,13:23,여객,지연,연결-항공기,2015-01-01
28,제주항공,7C119,CJU(제주),14:00,14:55,여객,지연,연결-항공기,2015-01-01
29,제주항공,7C133,CJU(제주),19:40,20:26,여객,지연,연결-항공기,2015-01-01
30,제주항공,7C1384,KIX(간사이),14:00,15:37,여객,지연,연결-항공기,2015-01-01
31,제주항공,7C143,CJU(제주),13:00,13:34,여객,지연,연결-항공기,2015-01-01
32,제주항공,7C1682,NGO(나고야),08:20,08:54,여객,취소,기상-바람,2015-01-01
33,진에어,LJ305,CJU(제주),08:30,10:20,여객,지연,연결-항공기,2015-01-01
34,진에어,LJ311,CJU(제주),12:00,13:03,여객,지연,연결-항공기,2015-01-01
35,진에어,LJ313,CJU(제주),12:45,14:01,여객,지연,연결-항공기,2015-01-01
36,진에어,LJ315,CJU(제주),13:30,14:26,여객,지연,연결-항공기,2015-01-01
37,진에어,LJ317,CJU(제주),14:05,14:39,여객,지연,연결-항공기,2015-01-01
38,진에어,LJ319,CJU(제주),15:20,16:27,여객,지연,연결-항공기,2015-01-01
39,진에어,LJ329,CJU(제주),20:00,20:47,여객,지연,연결-항공기,2015-01-01
40,대한항공,KE1213,CJU(제주),12:15,13:54,여객,지연,연결-항공기,2015-01-01
41,대한항공,KE1219,CJU(제주),13:35,15:20,여객,지연,연결-항공기,2015-01-01
42,대한항공,KE1227,CJU(제주),15:35,16:21,여객,지연,연결-항공기,2015-01-01
43,대한항공,KE1233,CJU(제주),17:25,17:55,여객,지연,연결-항공기,2015-01-01
44,대한항공,KE1251,CJU(제주),13:25,14:31,여객,지연,연결-항공기,2015-01-01
45,대한항공,KE1451,ICN(인천),18:50,:,,취소,기타,2015-01-01
46,티웨이항공,TW709,CJU(제주),11:35,12:10,여객,지연,연결-항공기,2015-01-01
47,티웨이항공,TW715,CJU(제주),15:00,15:32,여객,지연,연결-항공기,2015-01-01
48,아시아나항공,OZ3615,SHA(상해/홍차우),16:15,16:29,여객,회항,정비-착륙바퀴,2015-01-01
49,제주항공,7C1682,NGO(나고야),08:20,08:54,여객,취소,기상-바람,2015-01-01
0,아시아나항공,OZ8601,USN(울산),08:50,09:49,여객,지연,연결-항공기,2015-01-02
1,아시아나항공,OZ8709,KWJ(광주),20:20,20:52,여객,지연,연결-항공기,2015-01-02
2,아시아나항공,OZ8733,RSU(여수),09:45,:,여객,취소,기상-눈,2015-01-02
3,아시아나항공,OZ8737,RSU(여수),17:20,18:04,여객,지연,연결-항공기,2015-01-02
4,아시아나항공,OZ8929,CJU(제주),12:40,13:32,여객,지연,연결-항공기,2015-01-02
5,아시아나항공,OZ8931,CJU(제주),13:55,14:27,여객,지연,연결-항공기,2015-01-02
6,아시아나항공,OZ8943,CJU(제주),15:40,16:12,여객,지연,연결-항공기,2015-01-02
7,아시아나항공,OZ8963,CJU(제주),12:25,12:55,여객,지연,연결-항공기,2015-01-02
8,아시아나항공,OZ8965,CJU(제주),15:55,16:34,여객,지연,연결-항공기,2015-01-02
9,아시아나항공,OZ8987,CJU(제주),19:45,20:20,여객,지연,연결-항공기,2015-01-02
10,에어부산,BX8015,CJU(제주),17:55,18:29,여객,지연,연결-항공기,2015-01-02
11,대한항공,KE1333,RSU(여수),11:05,:,여객,취소,기상-눈,2015-01-02
12,티웨이항공,TW703,CJU(제주),08:20,09:13,여객,지연,정비-엔진,2015-01-02
13,티웨이항공,TW709,CJU(제주),11:35,12:31,여객,지연,연결-항공기,2015-01-02
14,티웨이항공,TW715,CJU(제주),15:00,15:44,여객,지연,연결-항공기,2015-01-02
0,아시아나항공,OZ8921,CJU(제주),12:00,12:30,여객,지연,연결-항공기,2015-01-03
1,아시아나항공,OZ8939,CJU(제주),15:25,16:01,여객,지연,연결-항공기,2015-01-03
2,아시아나항공,OZ8945,CJU(제주),16:05,16:35,여객,지연,연결-항공기,2015-01-03
3,아시아나항공,OZ8963,CJU(제주),12:25,13:02,여객,지연,연결-항공기,2015-01-03
4,아시아나항공,OZ8965,CJU(제주),15:55,16:27,여객,지연,연결-항공기,2015-01-03
5,아시아나항공,OZ8985,CJU(제주),14:40,15:30,여객,지연,연결-항공기,2015-01-03
6,이스타항공,ZE221,CJU(제주),16:10,16:53,여객,지연,연결-항공기,2015-01-03
7,이스타항공,ZE227,CJU(제주),19:30,20:05,여객,지연,연결-항공기,2015-01-03
8,제주항공,7C125,CJU(제주),16:10,16:50,여객,지연,연결-항공기,2015-01-03
9,제주항공,7C9391,ICN(인천),06:10,06:49,,지연,정비,2015-01-03
10,대한항공,KE1119,PUS(김해),16:00,16:30,여객,지연,연결-항공기,2015-01-03
0,아시아나항공,OZ8939,CJU(제주),15:25,15:56,여객,지연,연결-항공기,2015-01-04
1,아시아나항공,OZ8963,CJU(제주),12:25,13:00,여객,지연,연결-항공기,2015-01-04
2,아시아나항공,OZ8965,CJU(제주),15:55,16:37,여객,지연,연결-항공기,2015-01-04
3,아시아나항공,OZ8967,CJU(제주),19:25,19:55,여객,지연,연결-항공기,2015-01-04
4,아시아나항공,OZ8985,CJU(제주),14:40,15:14,여객,지연,연결-항공기,2015-01-04
5,에어부산,BX8011,CJU(제주),07:00,09:15,여객,지연,정비-기체,2015-01-04
6,이스타항공,ZE221,CJU(제주),16:10,16:42,여객,지연,연결-항공기,2015-01-04
7,제주항공,7C117,CJU(제주),12:40,13:18,여객,지연,연결-항공기,2015-01-04
8,진에어,LJ321,CJU(제주),16:05,16:46,여객,지연,연결-항공기,2015-01-04
9,대한항공,KE1229,CJU(제주),16:25,17:16,여객,지연,연결-항공기,2015-01-04
10,티웨이항공,TW723,CJU(제주),19:35,20:05,여객,지연,연결-항공기,2015-01-04
0,아시아나항공,OZ8701,KWJ(광주),07:00,:,여객,취소,기상-시정,2015-01-05
1,아시아나항공,OZ8737,RSU(여수),17:20,18:17,여객,지연,연결-항공기,2015-01-05
2,아시아나항공,OZ8915,CJU(제주),10:15,11:00,여객,지연,연결-항공기,2015-01-05
3,아시아나항공,OZ8929,CJU(제주),12:40,13:45,여객,지연,연결-항공기,2015-01-05
4,아시아나항공,OZ8931,CJU(제주),13:55,14:25,여객,지연,연결-항공기,2015-01-05
5,아시아나항공,OZ8939,CJU(제주),15:25,15:56,여객,지연,연결-항공기,2015-01-05
6,아시아나항공,OZ8945,CJU(제주),16:05,17:00,여객,지연,연결-항공기,2015-01-05
7,아시아나항공,OZ8949,CJU(제주),18:05,18:37,여객,지연,연결-항공기,2015-01-05
8,아시아나항공,OZ8965,CJU(제주),15:55,16:32,여객,지연,연결-항공기,2015-01-05
9,아시아나항공,OZ8987,CJU(제주),19:45,20:21,여객,지연,연결-항공기,2015-01-05
10,에어부산,BX8015,CJU(제주),17:55,18:44,여객,지연,연결-항공기,2015-01-05
11,에어부산,BX8021,CJU(제주),14:30,15:03,여객,지연,연결-항공기,2015-01-05
12,이스타항공,ZE221,CJU(제주),16:10,16:53,여객,지연,연결-항공기,2015-01-05
13,이스타항공,ZE227,CJU(제주),19:30,20:02,여객,지연,연결-항공기,2015-01-05
14,제주항공,7C111,CJU(제주),10:15,10:58,여객,지연,연결-항공기,2015-01-05
15,진에어,LJ309,CJU(제주),10:30,11:07,여객,지연,연결-항공기,2015-01-05
16,진에어,LJ311,CJU(제주),12:00,12:30,여객,지연,연결-항공기,2015-01-05
17,진에어,LJ313,CJU(제주),12:45,15:07,여객,지연,연결-항공기,2015-01-05
18,진에어,LJ319,CJU(제주),15:20,16:05,여객,지연,연결-항공기,2015-01-05
19,대한항공,KE1113,PUS(김해),13:00,13:38,여객,지연,연결-항공기,2015-01-05
20,대한항공,KE1217,CJU(제주),13:15,13:48,여객,지연,연결-항공기,2015-01-05
21,대한항공,KE1233,CJU(제주),17:25,18:04,여객,지연,연결-항공기,2015-01-05
22,대한항공,KE1301,KWJ(광주),08:30,10:42,여객,지연,기상-시정,2015-01-05
23,대한항공,KE1305,KWJ(광주),16:00,16:36,여객,지연,연결-항공기,2015-01-05
24,티웨이항공,TW761,CJU(제주),06:40,07:11,여객,지연,제방빙작업,2015-01-05
0,아시아나항공,OZ8737,RSU(여수),17:20,17:53,여객,지연,연결-항공기,2015-01-06
1,아시아나항공,OZ8943,CJU(제주),15:40,16:54,여객,지연,정비-항공전자,2015-01-06
2,아시아나항공,OZ8945,CJU(제주),16:05,17:01,여객,지연,연결-항공기,2015-01-06
3,아시아나항공,OZ8987,CJU(제주),19:45,:,여객,취소,연결-항공기,2015-01-06
4,에어부산,BX8813,PUS(김해),12:30,14:59,여객,지연,정비-항공전자,2015-01-06
5,이스타항공,ZE215,CJU(제주),13:00,14:40,여객,지연,정비-기체,2015-01-06
6,이스타항공,ZE217,CJU(제주),14:45,15:16,여객,지연,정비-기체,2015-01-06
7,이스타항공,ZE221,CJU(제주),16:10,17:38,여객,지연,연결-항공기,2015-01-06
8,이스타항공,ZE225,CJU(제주),18:35,:,여객,취소,연결-항공기,2015-01-06
9,대한항공,KE1631,HIN(사천),07:15,08:35,여객,지연,기상-시정,2015-01-06
0,아시아나항공,OZ8709,KWJ(광주),20:20,21:17,여객,지연,연결-항공기,2015-01-07
1,아시아나항공,OZ8737,RSU(여수),17:20,18:33,여객,지연,연결-항공기,2015-01-07
2,이스타항공,ZE235,CJU(제주),20:10,20:42,여객,지연,연결-항공기,2015-01-07
3,제주항공,7C133,CJU(제주),19:40,20:19,여객,지연,연결-항공기,2015-01-07
0,에어부산,BX8015,CJU(제주),17:55,18:25,여객,지연,연결-항공기,2015-01-08
1,상해항공,FM824,SHA(상해/홍차우),19:20,20:31,여객,지연,연결-항공기,2015-01-08
2,제주항공,7C111,CJU(제주),10:15,10:45,여객,지연,연결-항공기,2015-01-08
3,진에어,LJ327,CJU(제주),19:30,20:03,여객,지연,연결-항공기,2015-01-08
4,대한항공,KE1125,PUS(김해),19:00,19:32,여객,지연,연결-항공기,2015-01-08
5,대한항공,KE1213,CJU(제주),12:15,12:47,여객,지연,연결-항공기,2015-01-08
6,대한항공,KE1613,USN(울산),16:00,16:32,여객,지연,연결-항공기,2015-01-08
0,아시아나항공,OZ8927,CJU(제주),12:45,13:21,여객,지연,연결-항공기,2015-01-09
1,아시아나항공,OZ8939,CJU(제주),15:25,16:03,여객,지연,연결-항공기,2015-01-09
2,아시아나항공,OZ8985,CJU(제주),14:40,15:20,여객,지연,연결-항공기,2015-01-09
3,이스타항공,ZE213,CJU(제주),11:30,12:06,여객,지연,연결-항공기,2015-01-09
4,이스타항공,ZE229,CJU(제주),19:55,:,여객,취소,연결-항공기,2015-01-09
5,이스타항공,ZE261F,ICN(인천),20:40,21:45,,지연,연결-항공기,2015-01-09
6,진에어,LJ319,CJU(제주),15:20,15:54,여객,지연,연결-항공기,2015-01-09
0,아시아나항공,OZ8701,KWJ(광주),07:00,08:29,여객,지연,정비-기체,2015-01-10
1,아시아나항공,OZ8987,CJU(제주),19:45,20:15,여객,지연,연결-항공기,2015-01-10
0,아시아나항공,OZ8967,CJU(제주),19:25,19:56,여객,지연,연결-항공기,2015-01-11
1,아시아나항공,OZ8987,CJU(제주),19:45,20:20,여객,지연,연결-항공기,2015-01-11
2,에어부산,BX8015,CJU(제주),17:55,20:35,여객,지연,연결-항공기,2015-01-11
3,에어부산,BX8807,PUS(김해),09:30,10:23,여객,지연,연결-항공기,2015-01-11
4,에어부산,BX8813,PUS(김해),12:30,13:19,여객,지연,연결-항공기,2015-01-11
5,이스타항공,ZE229,CJU(제주),19:55,20:28,여객,지연,연결-항공기,2015-01-11
6,일본항공,JL94,HND(하네다),19:50,21:13,여객,지연,정비-기체,2015-01-11
7,진에어,LJ319,CJU(제주),15:20,15:54,여객,지연,연결-항공기,2015-01-11
8,진에어,LJ327,CJU(제주),19:30,20:01,여객,지연,연결-항공기,2015-01-11
0,아시아나항공,OZ8943,CJU(제주),15:40,16:19,여객,지연,연결-항공기,2015-01-12
1,아시아나항공,OZ8985,CJU(제주),14:40,15:15,여객,지연,연결-항공기,2015-01-12
2,이스타항공,ZE217,CJU(제주),14:45,15:25,여객,지연,연결-항공기,2015-01-12
3,제주항공,7C115,CJU(제주),12:20,12:58,여객,지연,연결-항공기,2015-01-12
4,제주항공,7C117,CJU(제주),12:40,13:36,여객,지연,연결-항공기,2015-01-12
5,진에어,LJ305,CJU(제주),08:30,09:31,여객,지연,연결-항공기,2015-01-12
6,진에어,LJ311,CJU(제주),12:00,12:32,여객,지연,연결-항공기,2015-01-12
0,아시아나항공,OZ8707,KWJ(광주),17:40,18:14,여객,지연,연결-항공기,2015-01-13
1,아시아나항공,OZ8709,KWJ(광주),20:20,20:50,여객,지연,연결-항공기,2015-01-13
2,아시아나항공,OZ8737,RSU(여수),17:20,18:06,여객,지연,연결-항공기,2015-01-13
3,에어부산,BX8021,CJU(제주),14:30,15:05,여객,지연,연결-항공기,2015-01-13
4,제주항공,7C113,CJU(제주),11:15,12:33,여객,지연,연결-항공기,2015-01-13
5,제주항공,7C115,CJU(제주),12:20,13:21,여객,지연,연결-항공기,2015-01-13
0,에어부산,BX8015,CJU(제주),17:55,18:42,여객,지연,연결-항공기,2015-01-14
1,이스타항공,ZE217,CJU(제주),14:45,15:19,여객,지연,연결-항공기,2015-01-14
2,진에어,LJ319,CJU(제주),15:20,16:26,여객,지연,연결-항공기,2015-01-14
