,Company,Flight_Num,Dep,Sche,Dept,Type,Status,Reason,Date
0,아시아나항공,OZ8701,KWJ(광주),08:40,:,여객,취소,기상-눈,2008-01-01
1,아시아나항공,OZ8761,MWX(무안),12:35,:,여객,취소,기상-눈,2008-01-01
2,제주항공,7C111,CJU(제주),11:55,:,여객,취소,정비-기체,2008-01-01
3,제주항공,7C113,CJU(제주),12:25,13:09,여객,지연,연결-항공기,2008-01-01
4,제주항공,7C125,CJU(제주),18:00,18:59,여객,지연,연결-항공기,2008-01-01
5,대한항공,KE1201,CJU(제주),06:40,07:29,여객,지연,기상-바람,2008-01-01
6,대한항공,KE1237,CJU(제주),13:45,14:22,여객,지연,연결-항공기,2008-01-01
7,대한항공,KE1239,CJU(제주),14:05,14:51,여객,지연,연결-항공기,2008-01-01
8,대한항공,KE1259,CJU(제주),17:15,17:46,여객,지연,연결-항공기,2008-01-01
9,대한항공,KE1301,KWJ(광주),08:25,:,여객,취소,기상-눈,2008-01-01
0,아시아나항공,OZ8809,PUS(김해),11:15,11:49,여객,지연,연결-항공기,2008-01-03
1,대한항공,KE1105,PUS(김해),08:30,09:02,여객,지연,연결-항공기,2008-01-03
0,아시아나항공,OZ8701,KWJ(광주),08:40,:,여객,취소,기상-시정,2008-01-04
1,대한항공,KE1301,KWJ(광주),08:25,:,여객,취소,기상-시정,2008-01-04
0,아시아나항공,OZ8701,KWJ(광주),08:40,:,여객,취소,기상-시정,2008-01-05
1,대한항공,KE1301,KWJ(광주),08:25,:,여객,취소,기상-시정,2008-01-05
0,아시아나항공,OZ8701,KWJ(광주),08:40,:,여객,취소,기상-시정,2008-01-06
1,대한항공,KE1221,CJU(제주),10:30,11:03,여객,지연,연결-항공기,2008-01-06
2,대한항공,KE1301,KWJ(광주),08:25,:,여객,취소,기상-시정,2008-01-06
0,아시아나항공,OZ806F,ICN(인천),22:20,:,,취소,기상-시정,2008-01-07
1,아시아나항공,OZ8605,USN(울산),12:35,:,여객,취소,연결-항공기,2008-01-07
2,아시아나항공,OZ8609,USN(울산),19:35,:,여객,취소,기상-시정,2008-01-07
