지점,일시,최대풍속 나타난시각(hhmi),최대순간풍속 나타난시각(hhmi),최고기온(°C),최저기온(°C),최고기온시각(hhmi),최저기온시각(hhmi),평균해면기압(hPa),최고해면기압(hPa),최저해면기압(hPa),강수량합(mm),1시간최다강수(mm),1시간최다강수 시각(hhmi),30분최다강수(mm),10분최다강수(mm),최심신적설(cm),최심적설(cm),평균이슬점온도(°C),평균상대습도(%)
182,2016-01-01,1659,1801,9.6,4,1640,632,1032,1034.8,1028.7,,,,,,,,-.1,59
182,2016-01-02,1221,1226,15.7,8.5,1217,42,1024.2,1028.9,1021.3,,,,,,,,4.4,61
182,2016-01-03,121,121,14.6,7.8,1441,2102,1020.7,1021.9,1019.2,,,,,,,,5.4,67
182,2016-01-04,52,516,12.5,9.6,521,433,1022.9,1024.8,1021.1,,,,,,,,4.4,65
182,2016-01-05,1620,939,10.5,5.9,144,1156,1024.8,1027.8,1023,5.5,,,,,,,1,63
182,2016-01-06,1958,1959,7.8,4.9,1957,215,1025.2,1026.9,1023.5,,,,,,,,-.6,60
182,2016-01-07,649,945,7.6,6,607,2318,1025.3,1027.1,1023.9,0,,,,,,,-2.5,52
182,2016-01-08,350,1448,6.7,3.8,1424,941,1024,1025.6,1022.8,0,,,,,,,-3,54
182,2016-01-09,353,356,7.6,5.4,1411,128,1026.2,1027.8,1025.1,,,,,,,,-3.7,49
182,2016-01-10,34,34,10.1,4.8,1216,529,1026.5,1027.9,1025,,,,,,,,-1.7,53
182,2016-01-11,455,352,7.4,4,12,2319,1025.5,1027.3,1023.2,,,,,,,,-3.3,53
182,2016-01-12,1623,2237,5.3,3.8,1445,44,1024.2,1026.1,1022.7,0,,,,,,,-4.5,52
182,2016-01-13,324,1245,5.3,2.5,2150,845,1022.8,1023.8,1021.3,0,,,,,,,-4.2,54
182,2016-01-14,357,25,7.1,4.3,1452,1918,1022.9,1024.5,1021.8,,,,,,,,-5.1,46
182,2016-01-15,127,1338,9.8,3.3,1012,412,1021,1022.5,1019.6,,,,,,,,-2.1,54
182,2016-01-16,409,1148,10.4,3.4,1309,459,1021.4,1023.3,1019.3,,,,,,,,0,61
182,2016-01-17,1546,2049,10.5,6.4,1029,125,1014.4,1019.5,1011.6,33.5,,,,,,,4.8,78
182,2016-01-18,1927,2023,8.7,-.4,356,2027,1016.8,1022.4,1012.3,0,,,,,.5,.5,-2.3,63
182,2016-01-19,207,1859,2.9,-.9,1452,258,1024.6,1028.9,1021.8,0,,,,,.8,1.1,-5.8,60
182,2016-01-20,7,32,2.8,1.3,1508,140,1029.9,1032.1,1028,,,,,,,,-5.5,57
182,2016-01-21,1731,1804,3.3,1.9,1529,23,1028,1029.6,1026,,,,,,,,-4.2,61
182,2016-01-22,2047,2258,3.3,1.1,1455,643,1029.9,1031.6,1028.9,,,,,,,,-6.3,53
182,2016-01-23,2013,1933,2.9,-4.6,35,2249,1029.5,1031.4,1026.8,7,,,,,13,13,-5.2,73
182,2016-01-24,544,1510,.1,-6.1,2344,826,1027.2,1031.4,1024.4,1,,,,,2.6,13,-7.5,74
182,2016-01-25,205,32,4.2,-1.2,2334,45,1030,1031.4,1028.9,0,,,,,.4,12.6,-4.2,65
182,2016-01-26,654,654,7.2,4,1536,10,1029.2,1030.5,1028,0,,,,,,3.1,-3.2,54
182,2016-01-27,32,50,9.4,3.7,1525,725,1030.1,1031.9,1029.1,0,,,,,,,-2,54
182,2016-01-28,1704,1656,11.4,5.5,1515,201,1024.5,1029.8,1020.5,29.5,,,,,,,6.4,87
182,2016-01-29,1147,1430,9.9,7.2,1347,2008,1020.6,1022.4,1017.8,26.5,,,,,,,6.6,90
