지점,일시,최대풍속 나타난시각(hhmi),최대순간풍속 나타난시각(hhmi),최고기온(°C),최저기온(°C),최고기온시각(hhmi),최저기온시각(hhmi),평균해면기압(hPa),최고해면기압(hPa),최저해면기압(hPa),강수량합(mm),1시간최다강수(mm),1시간최다강수 시각(hhmi),30분최다강수(mm),10분최다강수(mm),최심신적설(cm),최심적설(cm),평균이슬점온도(°C),평균상대습도(%)
110,2013-01-01,2307,2258,.7,-12,1236,114,1018.5,1021.6,1016.4,1.5,,,,,4,4.7,-9.1,72
110,2013-01-02,30,102,-6.1,-16.3,1,2344,1031.8,1037.7,1021.5,,,,,,,4,-21.3,48
110,2013-01-03,1223,1218,-9.9,-20.3,1532,442,1038,1039.9,1036.6,,,,,,,3,-23,49
110,2013-01-04,1356,1349,-7.9,-20.5,1549,429,1033.4,1037.2,1029.8,,,,,,,2.5,-20.4,60
110,2013-01-05,1857,1033,-1.5,-19.1,1429,440,1027,1030,1024.4,0,,,,,,2.3,-14.8,69
110,2013-01-06,1302,1236,-3.5,-16.6,1512,844,1026.8,1028,1025.6,,,,,,,1.7,-14.7,71
110,2013-01-07,1358,1352,-2.1,-14.5,1522,259,1026,1027.7,1024.6,,,,,,,1.5,-13.4,67
110,2013-01-08,1553,1526,-2.1,-12.1,1457,717,1026.4,1028.3,1025.2,,,,,,,1.5,-13.6,63
110,2013-01-09,1327,1323,-7.4,-15.6,1446,544,1028.2,1029.5,1027,,,,,,,1.2,-19,53
110,2013-01-10,202,1500,-5,-18.2,1517,619,1031.5,1032.9,1029.2,,,,,,,1.2,-18.8,55
110,2013-01-11,1738,2234,1.5,-12.9,1406,35,1029.6,1032.8,1025.9,0,,,,,,1.1,-11,58
110,2013-01-12,358,1223,3.8,-7,1304,2343,1024.9,1026.5,1023.7,0,,,,,.2,.8,-5.5,71
110,2013-01-13,1635,1630,.3,-9.2,1533,219,1025,1027.2,1022.1,,,,,,,,-6.6,83
110,2013-01-14,1605,1556,2.1,-9.5,1357,808,1021.8,1025.2,1019.2,,,,,,,,-8.7,71
110,2013-01-15,1634,1455,2,-10.5,1424,645,1025.6,1027.6,1023.7,,,,,,,,-9.8,68
110,2013-01-16,1415,1942,0,-7.8,1250,2331,1024.5,1026.8,1022.8,0,,,,,.5,.5,-7.8,72
110,2013-01-17,2152,2146,-3.6,-10.5,1459,621,1029.8,1032.2,1026.8,,,,,,,,-12.9,66
110,2013-01-18,1417,1346,.2,-13.8,1523,507,1030.9,1033.2,1028.3,,,,,,,,-12.9,61
110,2013-01-19,1442,1404,4.6,-6.5,1249,28,1029.3,1032.4,1028,,,,,,,,-6.6,67
110,2013-01-20,1328,1158,4.6,-5.8,1639,313,1031.1,1034.4,1028.8,,,,,,,,-5.8,67
110,2013-01-21,124,119,4.5,1,120,2206,1021.8,1028.8,1017.7,14.5,,,,,,,-.5,82
110,2013-01-22,1434,1504,5.6,1,1329,8,1021,1022.9,1017.8,0,,,,,,,-.2,81
110,2013-01-23,1344,1339,2.8,.2,1303,2358,1019.2,1022.2,1017.5,.5,,,,,,,-1,81
110,2013-01-24,1518,1516,3.1,-6.6,1257,2358,1017,1021.7,1014,0,,,,,,,-7.2,63
110,2013-01-25,27,316,-6,-11,1509,2350,1023,1024.6,1021.7,,,,,,,,-19.6,42
110,2013-01-26,1017,1014,-5.3,-13,1610,718,1024.2,1026.6,1022.8,,,,,,,,-20,42
110,2013-01-27,1352,1400,-3.3,-13.2,1551,614,1026,1027.5,1024.7,,,,,,,,-15.8,55
110,2013-01-28,1418,1415,.6,-12.3,1436,412,1027.1,1028.7,1025.9,,,,,,,,-10.8,61
110,2013-01-29,1705,1659,5.5,-.7,1420,427,1026.3,1027.8,1025.5,0,,,,,,,-3.8,62
110,2013-01-30,319,1434,9,.2,1511,2301,1029.6,1030.9,1027.8,,,,,,,,0,72
110,2013-01-31,2114,2045,11.4,-.5,1509,818,1029.4,1031.9,1025.4,,,,,,,,-.3,63
110,2013-02-01,247,423,9.4,1.4,143,2355,1017.9,1025.7,1012.1,46,,,,,,,4.5,84
110,2013-02-02,1631,1636,1.9,-5.3,1453,2349,1027.6,1031.1,1020.9,,,,,,,,-9.1,57
110,2013-02-03,110,1710,-1.3,-6.8,2347,402,1026.6,1031.8,1019,5,,,,,8,8,-9.2,66
110,2013-02-04,1223,1217,1.4,-8.8,1407,2350,1020.9,1027.1,1015.8,6.5,,,,,6.5,14,-5.5,78
110,2013-02-05,2226,1627,2.1,-10.7,1628,211,1022.2,1026.9,1018.2,3.5,,,,,1.8,7.3,-5.8,81
110,2013-02-06,454,1401,3.1,-4.7,1105,2332,1019.1,1020.5,1017.6,1,,,,,1.5,3.7,-6.3,71
110,2013-02-07,1613,1605,-2.1,-14.3,49,2358,1026.1,1031,1019.2,0,,,,,,2,-20.9,45
110,2013-02-08,220,113,-8.4,-17.2,1447,740,1032.9,1035.4,1030.6,,,,,,,2,-23,43
110,2013-02-09,2356,2352,-.6,-16.7,1409,431,1029.2,1032.1,1026.5,,,,,,,2,-15,63
110,2013-02-10,1453,1448,-1.4,-9.8,1439,2358,1027.3,1030.7,1025.5,0,,,,,1.5,3.1,-11.7,62
